id,name,age,address,cell phone,hobby
75,조유하,66,부산광역시 수영구 508-64,010-8517-5340,독서
76,장영희,25,강원도 속초시 362-78,010-2437-4316,플로리스트
77,김형민,32,경상남도 통영시 39-96,010-2922-7487,여행
78,박하율,23,광주광역시 북구 924-69,010-5378-8211,코딩
79,한복희,28,제주시 이도이동 47-58,010-8790-7889,드로잉
80,서시윤,33,대전광역시 대덕구 780-16,010-1401-2973,낚시
81,안순자,79,전라남도 나주시는 471-77,010-9131-6679,웹툰 그리기
82,임시헌,34,부천시 상동 256-23,010-6248-4124,플로리스트
83,이춘식,54,대구광역시 중구 388-92,010-8482-2316,음악감상
84,안옥희,55,서울특별시 도봉구 284-91,010-6953-7532,헬로윈 파티 준비
85,윤민수,66,서울특별시 중구 395-25,010-8433-5617,로봇 공학
86,정하윤,23,울산광역시 중구 530-33,010-1449-1227,비즈 공예
87,이우진,35,전라남도 광양시 906-20,010-4909-4623,헬로윈 파티 준비
88,장민준,76,서울특별시 영등포구 761-2,010-9276-7783,등산
89,김경수,28,광주광역시 광산구 502-50,010-3966-7950,VR 게임
90,송영일,29,울산광역시 남구 217-45,010-1135-7654,게임 방송
91,김진숙,65,전라남도 순천시 783-36,010-4685-6506,생활 해킹
92,홍상민,29,서울특별시 성북구 84-94,010-4004-5930,캔들 만들기
93,한수빈,41,경상북도 포항시 493-24,010-8244-9395,스키
94,이하은,70,부산광역시 금정구 496-73,010-1786-5413,영화감상
95,장순영,78,강원도 평창군 94-92,010-7697-1464,캘리그라피
96,임복희,31,경상남도 거제시 645-34,010-3064-6156,수영
97,전경수,76,경상남도 거제시 236-58,010-9660-3535,수영
98,김서준,44,김해시 장유동 896-70,010-7838-2219,여행
99,송춘희,65,인천광역시 계양구 503-54,010-2638-5999,캔들 만들기
100,서영희,43,부산광역시 영도구 656-40,010-4837-5569,코딩
101,전태현,33,경기도 안산시 단원구 760-37,010-3457-1496,사진촬영
102,김명자,74,강원도 원주시 829-0,010-5311-7378,퍼즐 맞추기
103,박주영,45,경기도 광주시 951-42,010-2734-6812,필라테스
104,황복희,57,경상남도 진주시 379-53,010-4029-3728,퍼즐 맞추기
105,신말순,45,서울특별시 강동구 840-49,010-3742-7811,디지털 일러스트
106,최숙자,62,서울특별시 노원구 444-30,010-8831-1459,독서
107,신정희,36,대구광역시 달서구 15-43,010-6595-8996,디지털 일러스트
108,김지호,55,경상남도 거제시 152-8,010-5847-7632,패션
109,서민서,64,충청북도 진천군 475-48,010-8132-2522,수영
110,안창수,78,성남시 분당구 정자동 829-38,010-1779-8237,등산
111,이형민,75,울산광역시 북구 877-19,010-1412-9969,봉사활동
112,이태수,33,전라북도 익산시 428-77,010-6929-7838,등산
113,김도윤,45,대구광역시 중구 193-70,010-9087-1506,코딩
114,윤현우,69,경기도 화성시 381-16,010-1250-6604,독서
115,장수아,30,경기도 용인시 처인구 458-0,010-2134-7444,비즈 공예
116,송지후,63,경상북도 김천시 629-80,010-8002-7136,도예
117,신형민,24,서울특별시 마포구 110-54,010-2018-5093,비즈 공예
118,강로운,55,대구광역시 달서구 571-81,010-9199-6685,플로리스트
119,신재호,62,세종특별자치시 한솔동 185-5,010-5478-9950,스트리트 댄스
120,윤도윤,30,세종특별자치시 조치원읍 279-90,010-4828-4288,디지털 사진 전시
121,윤세호,73,강원도 태백시 869-82,010-6713-8260,코딩
122,한유진,79,서울특별시 동작구 130-95,010-8992-5216,마인드맵 만들기
123,한승호,50,서울특별시 성북구 566-56,010-4445-5461,책 클럽
124,윤지민,30,부산광역시 동구 5-55,010-5977-5690,집콕 놀이
125,권은우,64,대전광역시 대덕구 371-5,010-5783-5943,집콕 놀이
126,황시윤,75,경기도 수원시 장안구 881-70,010-3638-1631,캘리그라피
127,오순영,70,전라남도 순천시 875-46,010-2923-7524,애니메이션 제작
128,장승호,36,충청남도 논산시 847-73,010-3716-5144,보드게임
129,오병호,77,대전광역시 중구 241-45,010-4968-1505,배우기
130,신경자,61,경기도 고양시 일산동구 841-71,010-2478-9781,펜팔
131,오재호,65,대구광역시 남구 74-11,010-8032-5939,자전거 타기
132,강종순,23,대전광역시 유성구 711-97,010-4931-1087,봉사활동
133,조영일,64,서울특별시 중구 339-50,010-6633-9823,헬로윈 파티 준비
134,최예린,54,대구광역시 달서구 618-19,010-4761-4689,사진편집
135,오로운,23,강원도 평창군 497-79,010-1184-4367,등산
136,권하윤,36,전라남도 나주시는 170-72,010-7282-1618,VR 게임
137,한정숙,72,충청남도 아산시 857-8,010-1590-3984,수영
138,정수아,32,서울특별시 종로구 725-63,010-5721-9948,골프
139,서연희,50,서울특별시 마포구 435-47,010-1431-8620,애니메이션 제작
140,권춘자,50,경상남도 창녕군 249-22,010-2370-6167,스크래치 프로그램 만들기
141,전나윤,24,부산광역시 강서구 909-65,010-8963-2403,스크래치 프로그램 만들기
142,장상호,55,경상북도 안동시 447-66,010-1596-2079,운동
143,송주아,76,경상북도 경주시 916-40,010-1685-3306,플로리스트
144,임만수,51,세종특별자치시 한솔동 221-10,010-5563-2503,시뮬레이션 게임
145,안준서,78,전라북도 전주시 945-79,010-5246-2828,책 클럽
146,서재영,71,경기도 시흥시 72-39,010-2340-3402,자전거 타기
147,서다은,32,서울특별시 구로구 44-34,010-8633-1661,자전거 타기
148,박지호,65,부산광역시 서구 635-19,010-6655-1155,필라테스
149,최유진,50,강원도 강릉시 732-57,010-6707-3440,음악감상
150,임성민,43,강원도 홍천군 719-80,010-9567-9474,플라워 아트
151,임춘식,56,세종특별자치시 도담동 780-64,010-7763-2728,웹서핑
152,홍예린,56,제주시 아라동 4-21,010-2768-3108,수채화 그리기
153,오하은,33,광주광역시 동구 191-77,010-1857-3955,수채화 그리기
154,권영일,70,전라북도 전주시 587-79,010-4683-9602,사진촬영
155,정진호,24,충청북도 진천군 740-24,010-4694-4595,여행
156,강준서,52,서울특별시 강서구 364-20,010-4676-3626,스트리트 댄스
157,신예준,49,강원도 양양군 854-75,010-3644-8646,마인드맵 만들기
158,장예준,79,부산광역시 해운대구 450-91,010-6542-6084,자전거 타기
159,한희정,25,부천시 원미구 중동 482-67,010-6716-3876,사진편집
160,최태현,49,강원도 원주시 560-37,010-1191-8809,콜라주 아트
161,김하람,63,경상남도 통영시 836-83,010-9492-5413,콜라주 아트
162,신찬우,22,대구광역시 북구 819-84,010-2644-3376,캘리그라피
163,김정희,52,부산광역시 금정구 839-23,010-6422-3699,헬스
164,이수빈,73,경상북도 안동시 252-93,010-5856-3432,코딩
165,이복자,62,경기도 안산시 단원구 861-94,010-2245-4201,배드민턴
166,정유진,41,부산광역시 연제구 801-57,010-2433-2078,웹툰 그리기
167,윤은숙,20,서울특별시 중구 29-24,010-2771-5594,모바일 촬영
168,강예린,50,서울특별시 서초구 475-3,010-1223-6858,벽화 그리기
169,오춘희,76,충청남도 논산시 67-65,010-3951-9211,스트리트 댄스
170,안정숙,23,대전광역시 유성구 483-9,010-2433-5624,유튜브 보기
171,오하람,57,경기도 광명시 432-69,010-6568-4539,요리
172,오현철,49,전라남도 광양시 797-84,010-5095-4850,도예
173,윤우진,42,경기도 의정부시 711-92,010-6560-3585,명상
174,최민준,40,전라북도 전주시 451-78,010-1436-7410,펜팔
175,조영일,42,경기도 안양시 만안구 804-26,010-9160-8971,도예
176,신예은,47,경기도 광명시 872-37,010-8928-5986,테니스
177,윤로운,25,경상남도 양산시 105-7,010-6320-1005,일기 쓰기
178,한서진,44,제주시 아라동 492-38,010-8055-2725,스트리트 댄스
179,윤찬우,74,서울특별시 용산구 12-75,010-9012-8991,책 클럽
180,김윤서,77,성남시 분당구 정자동 630-85,010-8655-4315,미술관 관람
181,권하람,46,세종특별자치시 조치원읍 487-14,010-9564-3355,사진편집
182,전혜숙,73,경상남도 진주시 678-41,010-8521-7041,게임
183,윤은숙,46,광주광역시 남구 38-27,010-5053-8052,자원봉사
184,임말옥,21,서울특별시 금천구 526-20,010-1777-6699,여행
185,김지민,54,경기도 오산시 197-10,010-7742-4730,시뮬레이션 게임
186,서지호,23,경상북도 경주시 884-13,010-2042-2275,일기 쓰기
187,전하람,34,서울특별시 영등포구 982-80,010-6449-1893,명상
188,오옥희,27,서울특별시 용산구 69-54,010-3460-6851,수영
189,한나윤,50,충청남도 공주시 26-20,010-9308-5094,도예
190,김현서,34,대전광역시 대덕구 739-5,010-3089-3494,헬로윈 파티 준비
191,윤정호,69,경상남도 양산시 367-84,010-5988-2672,봉사활동
192,전준서,32,서울특별시 영등포구 459-27,010-2343-1543,일기 쓰기
193,서광호,68,대구광역시 달서구 707-85,010-2166-4948,수영
194,권말순,55,제주시 오라동 654-72,010-1350-5685,유튜브 보기
195,한다온,74,부산광역시 수영구 83-69,010-3928-1345,자원봉사
196,정하윤,54,충청북도 진천군 165-59,010-2013-8058,웹툰 그리기
197,서민준,43,서울특별시 서대문구 263-32,010-6541-3847,카페 투어
198,박광호,70,강원도 태백시 744-19,010-4431-2353,모바일 촬영
199,한순영,72,제주시 오라동 105-79,010-4527-7050,보드게임
200,황주아,40,대전광역시 동구 446-98,010-9077-4362,낚시
201,전하진,36,강원도 원주시 109-49,010-1010-7826,벽화 그리기
202,강민수,20,인천광역시 중구 273-48,010-6360-4039,모바일 촬영
203,박소율,60,서울특별시 강서구 293-1,010-5422-7857,펜팔
204,홍희정,29,부산광역시 영도구 667-67,010-7652-9745,영화감상
205,권지호,69,충청남도 논산시 478-49,010-6436-8566,시뮬레이션 게임
206,전나윤,31,서울특별시 강북구 38-85,010-2109-3694,스키
207,홍옥희,46,서울특별시 동작구 405-24,010-6413-6428,디지털 사진 전시
208,안현철,23,인천광역시 중구 418-40,010-4343-1517,낚시
209,박예린,34,경기도 성남시 분당구 66-76,010-9701-6285,사진촬영
210,오유하,78,대전광역시 동구 128-94,010-9123-5726,사진촬영
211,홍태윤,25,서울특별시 동작구 855-2,010-7478-3074,스트리트 댄스
212,황순자,28,서울특별시 마포구 267-68,010-6058-3642,영화 제작
213,신현우,50,경기도 수원시 장안구 826-71,010-7789-2038,스키
214,홍서준,31,경기도 성남시 분당구 677-56,010-3300-9395,등산
215,김유하,59,용인시 수지구 풍덕천동 728-66,010-1356-5483,명상
216,이춘희,49,서울특별시 양천구 566-73,010-7157-5501,테니스
217,홍소율,35,부산광역시 중구 240-66,010-1160-1635,수영
218,김철수,50,울산광역시 울주군 438-46,010-5251-5875,패션
219,서다온,57,서울특별시 금천구 590-65,010-7597-6114,테니스
220,홍종수,69,경상남도 진주시 353-38,010-1001-8843,캠핑
221,신경수,69,부산광역시 북구 590-92,010-2549-7616,벽화 그리기
222,최말순,48,서울특별시 송파구 805-60,010-1608-1533,플라워 아트
223,안예준,46,서울특별시 구로구 207-70,010-3442-1456,웹툰 그리기
224,정동수,48,경기도 파주시 143-10,010-1958-7186,봉사활동
225,오명숙,27,경상남도 사천시 365-89,010-4608-1382,로봇 공학
226,한세아,79,경상남도 통영시 295-32,010-5734-3492,비즈 공예
227,박민수,38,경기도 성남시 수정구 308-27,010-9309-7788,음악감상
228,서광호,37,강원도 원주시 867-39,010-1113-5791,필라테스
229,송성민,79,서울특별시 용산구 908-96,010-4137-8409,유튜브 보기
230,신옥희,64,서울특별시 강동구 736-86,010-2362-2187,퍼즐 맞추기
231,홍경자,37,경상남도 밀양시 909-90,010-4507-1529,캘리그라피
232,오형민,49,경기도 안양시 만안구 165-76,010-2763-8097,플로리스트
233,강찬우,55,부산광역시 중구 647-15,010-6933-9822,일기 쓰기
234,전미영,66,전라북도 군산시 377-4,010-3013-5387,펜팔
235,조동수,68,대전광역시 중구 128-32,010-7123-9527,마인드맵 만들기
236,신채원,73,부산광역시 강서구 255-54,010-5451-4981,영화감상
237,김세호,66,전라남도 목포시 25-26,010-7629-6040,애니메이션 제작
238,황다온,41,부산광역시 동래구 730-81,010-4693-1650,모바일 촬영
239,이재호,55,인천광역시 부평구 810-34,010-7278-4838,디지털 사진 전시
240,오상호,45,경기도 수원시 장안구 20-64,010-3056-5314,수영
241,장창수,77,충청남도 공주시 454-34,010-7229-1267,캔들 만들기
242,조영호,28,인천광역시 연수구 792-22,010-2088-5357,헬스
243,신서준,36,경기도 고양시 덕양구 94-89,010-5112-4327,배드민턴
244,한기석,37,강원도 동해시 319-63,010-1697-5990,디지털 사진 전시
245,서복희,64,대구광역시 중구 627-49,010-1111-9889,코딩
246,조수빈,58,부산광역시 강서구 468-2,010-1113-3799,수채화 그리기
247,정은숙,28,서울특별시 서대문구 449-6,010-3543-7508,여행
248,박세아,60,강원도 원주시 165-26,010-5679-1706,피크닉
249,박경자,71,강원도 평창군 700-65,010-4119-5604,요가
250,전다빈,31,부산광역시 남구 195-66,010-5615-1379,생활 해킹
251,박서준,72,제주시 노형동 288-18,010-2899-2634,시뮬레이션 게임
252,박하진,52,경상남도 밀양시 174-58,010-3516-8147,책 클럽
253,홍지민,36,강원도 춘천시 282-19,010-4209-5044,시뮬레이션 게임
254,송선자,36,경기도 성남시 분당구 35-97,010-2395-1736,로봇 공학
255,임병호,42,경기도 오산시 304-46,010-8574-3005,도예
256,박준서,26,경기도 파주시 134-7,010-6516-4794,드로잉
257,임영희,44,서울특별시 강북구 345-50,010-2648-6179,헬스
258,홍서준,76,대전광역시 서구 818-93,010-4282-6756,로봇 공학
259,서은채,53,인천광역시 계양구 47-67,010-9502-3484,게임
260,신말옥,30,인천광역시 미추홀구 496-83,010-6180-9821,헬로윈 파티 준비
261,신준서,46,경기도 수원시 장안구 388-94,010-9178-2343,마인드맵 만들기
262,이다빈,70,대구광역시 달성군 795-34,010-9339-3204,도예
263,윤경수,76,서울특별시 노원구 651-55,010-1791-8982,디지털 사진 전시
264,윤명자,61,경상남도 통영시 835-12,010-5129-9174,책 클럽
265,정남수,51,강원도 춘천시 579-36,010-6570-9079,수영
266,서영호,67,대구광역시 수성구 603-24,010-1722-6730,게임
267,정기석,41,서울특별시 종로구 76-45,010-9365-8044,애니메이션 제작
268,한영자,57,충청북도 청주시 281-36,010-6516-9284,봉사활동
269,안채원,63,서울특별시 중구 601-82,010-7085-2976,퍼즐 맞추기
270,안지민,58,인천광역시 연수구 773-46,010-2237-9790,마인드맵 만들기
271,안서아,38,서울특별시 용산구 333-97,010-5377-4519,비즈 공예
272,임다빈,40,경기도 수원시 장안구 763-10,010-7475-7504,펜팔
273,송은우,22,경기도 안산시 상록구 716-48,010-2496-6440,모바일 게임 개발
274,홍재훈,29,울산광역시 중구 424-67,010-3381-8049,마인드맵 만들기
275,송기석,45,서울특별시 중구 471-9,010-5634-4709,웹툰 그리기
276,전서연,69,서울특별시 양천구 691-79,010-5251-4585,도예
277,안진호,26,전라남도 광양시 788-43,010-2624-1579,웹서핑
278,이성민,74,서울특별시 양천구 129-44,010-6209-2310,피크닉
279,윤태윤,41,서울특별시 구로구 621-11,010-8671-5543,디지털 콘텐츠 제작
280,서우진,27,부산광역시 사하구 490-82,010-8036-4882,스트리트 댄스
281,김종수,68,경기도 수원시 팔달구 981-40,010-2843-6390,스포츠 카드 수집
282,권영일,49,부천시 상동 821-92,010-5326-7707,비즈 공예
283,김춘식,64,서울특별시 도봉구 826-68,010-7059-6302,스트리밍
284,오복자,59,경상북도 김천시 815-9,010-6764-5140,요가
285,오철수,49,서울특별시 중랑구 859-95,010-6030-7714,여행
286,박준서,28,울산광역시 동구 935-37,010-2786-4824,카페 투어
287,안유진,26,경기도 성남시 수정구 388-77,010-8138-7718,생활 해킹
288,윤태수,65,경기도 광명시 81-98,010-2120-3871,유튜브 보기
289,오나윤,60,부산광역시 남구 207-45,010-9336-7083,드로잉
290,서하윤,72,강원도 춘천시 224-26,010-8603-6846,디지털 사진 전시
291,김준서,42,인천광역시 부평구 454-62,010-6314-9898,생활 해킹
292,전태현,54,부산광역시 강서구 717-54,010-7247-5638,생활 해킹
293,권정숙,53,전라북도 군산시 512-5,010-4174-7072,시뮬레이션 게임
294,박소율,62,경기도 용인시 기흥구 860-13,010-6674-1587,플라워 아트
295,박지율,56,경기도 성남시 수정구 964-11,010-5484-7753,수채화 그리기
296,전지호,36,강원도 양양군 988-37,010-5720-4691,헬로윈 파티 준비
297,홍성자,79,경상남도 창원시 817-10,010-2984-5292,피크닉
298,장시헌,45,경기도 성남시 수정구 280-0,010-4005-7076,카페 투어
299,권영일,54,서울특별시 서초구 498-22,010-2788-9448,음악감상
300,신경수,41,전라북도 전주시 789-14,010-9110-1447,자전거 타기
301,한명자,69,서울특별시 동대문구 74-53,010-4274-1541,스트리트 댄스
302,윤민준,58,대구광역시 달서구 542-43,010-6061-4883,콜라주 아트
303,서정호,75,부산광역시 연제구 714-7,010-4358-8490,보드게임
304,홍세호,41,경상남도 김해시 658-40,010-7241-9966,비즈 공예
305,신영자,25,경상남도 통영시 923-7,010-5774-5644,영화감상
306,김현우,38,서울특별시 강서구 285-17,010-1788-2338,독서
307,황윤호,20,서울특별시 노원구 154-27,010-2475-6260,봉사활동
308,박정숙,30,울산광역시 동구 609-28,010-1176-6714,로봇 공학
309,김유진,71,경기도 안산시 상록구 635-14,010-6025-6054,헬로윈 파티 준비
310,전춘자,78,경기도 성남시 수정구 665-28,010-3266-9704,미술관 관람
311,김세아,29,경상북도 안동시 690-96,010-8355-9165,스트리트 댄스
312,조말자,77,부산광역시 북구 634-7,010-3854-8654,여행
313,권연희,65,경상북도 김천시 112-48,010-5004-3937,코딩
314,장태현,25,강원도 평창군 712-77,010-9160-1418,스트리트 댄스
315,임명숙,20,전라북도 전주시 378-48,010-4652-2116,일기 쓰기
316,최광호,51,경기도 안산시 단원구 85-96,010-1817-4564,디지털 아트
317,조상민,43,전라남도 순천시 701-94,010-5518-5698,보드게임
318,전정자,54,세종특별자치시 도담동 944-83,010-4317-5381,웹툰 그리기
319,윤남수,77,대구광역시 북구 608-79,010-7907-6459,자원봉사
320,정정순,25,부산광역시 영도구 559-27,010-3874-1906,보드게임
321,서시헌,61,울산광역시 북구 736-77,010-7703-5261,요리
322,신복희,36,부산광역시 남구 437-28,010-8425-4233,영화감상
323,강지민,61,부산광역시 금정구 910-77,010-4194-3877,디지털 아트
324,황동수,76,경기도 안산시 상록구 119-20,010-1192-4329,모바일 촬영
325,황종순,30,광주광역시 서구 921-76,010-3702-3221,헬스
326,안지호,58,서울특별시 성동구 798-65,010-2951-6777,콜라주 아트
327,김서진,71,서울특별시 관악구 707-49,010-7714-5187,애니메이션 제작
328,전수아,39,부산광역시 수영구 277-46,010-6471-6727,플로리스트
329,황형민,67,제주시 연동 904-55,010-1990-9046,웹툰 그리기
330,한상호,58,강원도 평창군 465-49,010-8199-2306,스크래치 프로그램 만들기
331,조세아,68,인천광역시 서구 580-42,010-1905-2860,웹툰 그리기
332,윤준호,74,강원도 동해시 753-96,010-9345-7095,뜨개질
333,한승호,76,경기도 평택시 138-46,010-8806-6713,모바일 촬영
334,박예은,60,전라남도 목포시 930-18,010-4684-9721,보드게임
335,이정우,29,서울특별시 금천구 919-98,010-8894-4460,독서
336,조동수,78,부산광역시 부산진구 842-73,010-7618-5798,DIY
337,조도윤,71,경기도 수원시 장안구 376-24,010-9551-5839,플로리스트
338,박정자,27,경상남도 김해시 763-85,010-2747-5705,디지털 일러스트
339,강상호,38,경상북도 김천시 935-11,010-7868-9565,테니스
340,오서연,50,경상남도 거제시 224-38,010-2009-9265,음악감상
341,서정우,63,서울특별시 광진구 322-0,010-1771-2456,웹서핑
342,황성민,24,강원도 동해시 204-83,010-1004-4084,디지털 일러스트
343,안희정,37,울산광역시 남구 529-26,010-1004-9413,뜨개질
344,박주원,55,경기도 군포시 214-22,010-6684-1788,콜라주 아트
345,한로운,38,강원도 원주시 747-70,010-3722-7237,뜨개질
346,안도윤,75,충청남도 아산시 187-13,010-5781-3481,모바일 촬영
347,전태윤,61,충청북도 충주시 145-84,010-9895-7783,모바일 촬영
348,이시윤,51,울산광역시 동구 316-36,010-2060-7229,퍼즐 맞추기
349,전민준,42,경상남도 사천시 418-56,010-1311-4803,로봇 공학
350,조상호,39,세종특별자치시 조치원읍 220-27,010-6260-6174,캔들 만들기
351,서예준,68,부산광역시 부산진구 146-14,010-5684-5021,드로잉
352,안광호,42,강원도 양양군 65-92,010-6506-3065,마인드맵 만들기
353,임숙자,60,강원도 강릉시 742-68,010-5461-7002,생활 해킹
354,한은우,72,충청북도 진천군 708-35,010-7595-1334,스크래치 프로그램 만들기
355,송기영,36,충청남도 아산시 22-77,010-6997-6509,낚시
356,신말순,76,부산광역시 사상구 616-63,010-4674-9814,캘리그라피
357,서채원,30,서울특별시 서대문구 279-34,010-5475-1223,모바일 게임 개발
358,김순영,70,성남시 분당구 정자동 201-12,010-1258-4774,웹서핑
359,임채원,61,경기도 안양시 동안구 965-4,010-1632-9483,요가
360,홍민서,29,강원도 동해시 284-93,010-5550-1274,게임 방송
361,김상민,67,부산광역시 금정구 8-11,010-4550-5814,스트리트 댄스
362,전예준,48,울산광역시 북구 740-30,010-5528-8939,수채화 그리기
363,최복희,54,충청북도 청주시 935-81,010-1940-9407,수채화 그리기
364,안세호,63,서울특별시 성동구 466-7,010-1877-7986,디지털 아트
365,임재호,37,서울특별시 용산구 513-37,010-5816-3898,디지털 아트
366,김하율,38,강원도 평창군 963-4,010-1668-8887,사진촬영
367,홍기석,56,인천광역시 계양구 138-57,010-4145-1535,스포츠 카드 수집
368,한시우,42,부산광역시 동래구 576-92,010-4332-3775,디지털 콘텐츠 제작
369,서말순,26,성남시 분당구 정자동 796-31,010-3300-4337,VR 게임
370,안지율,67,경상북도 포항시 971-28,010-8515-2966,패션
371,윤주아,75,인천광역시 중구 234-23,010-8292-1519,뜨개질
372,장상호,21,제주시 신제주 13-43,010-4061-5189,퍼즐 맞추기
373,송주영,45,경상남도 창녕군 622-9,010-4524-3666,VR 게임
374,한민준,62,부산광역시 동래구 197-29,010-3345-9579,디지털 사진 전시
375,홍지호,64,부산광역시 동구 32-8,010-1514-3951,헬로윈 파티 준비
376,전시헌,55,부산광역시 동래구 772-11,010-6470-9269,수영
377,최연희,39,서울특별시 중랑구 366-7,010-3870-5937,수채화 그리기
378,전혜숙,55,경기도 화성시 690-19,010-6972-1503,드로잉
379,윤유진,55,서울특별시 성북구 948-1,010-9411-2156,운동
380,박희정,39,서울특별시 노원구 565-53,010-4652-1005,로봇 공학
381,송기영,62,경상북도 구미시 240-94,010-2883-2806,미술관 관람
382,최세아,54,인천광역시 남동구 446-42,010-1694-7067,미술관 관람
